ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
8050,No,No,No,7,1379,3.5,,API
8051,Yes,No,No,9,986,9,Media and Advertising,Landing Page Submission
8052,No,No,No,3,1152,3,,API
8053,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
8054,Yes,No,No,3,1283,3,Operations Management,Landing Page Submission
8055,No,No,No,,123,,Human Resource Management,Lead Add Form
8056,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8057,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
8058,No,No,No,,711,,Marketing Management,Lead Add Form
8059,No,Yes,No,2,124,2,,Landing Page Submission
8060,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
8061,Yes,No,No,0,0,0,Supply Chain Management,Lead Add Form
8062,Yes,No,No,3,1191,3,Business Administration,Landing Page Submission
8063,No,No,No,0,0,0,Marketing Management,Lead Add Form
8064,Yes,No,No,,1208,,International Business,Lead Add Form
8065,No,No,No,3,94,3,,API
8066,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8067,No,No,No,2,289,2,,Landing Page Submission
8068,Yes,No,No,2,306,1,,API
8069,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8070,No,No,No,,1028,,Human Resource Management,Lead Add Form
8071,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8072,Yes,No,No,,341,,Business Administration,Lead Add Form
8073,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8074,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8075,Yes,No,No,,1650,,Business Administration,Lead Add Form
8076,Yes,Yes,No,0,0,0,Healthcare Management,Lead Add Form
8077,No,No,No,0,0,0,Human Resource Management,Lead Add Form
8078,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8079,Yes,No,No,0,0,0,,Lead Add Form
8080,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8081,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8082,Yes,No,No,,1203,,"Banking, Investment And Insurance",Lead Add Form
8083,Yes,No,No,0,0,0,Business Administration,Lead Add Form
8084,Yes,No,No,1,1463,1,Supply Chain Management,Landing Page Submission
8085,No,Yes,No,7,166,7,Finance Management,Landing Page Submission
8086,Yes,No,No,0,0,0,Operations Management,Lead Add Form
8087,Yes,No,No,1,1486,1,Retail Management,Lead Add Form
8088,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8089,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8090,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8091,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8092,No,No,No,11,378,3.67,E-Business,Landing Page Submission
8093,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8094,Yes,No,No,2,1468,2,,API
8095,Yes,No,No,2,1064,2,,API
8096,No,No,No,3,1077,3,Human Resource Management,Landing Page Submission
8097,Yes,No,No,4,794,4,Operations Management,Landing Page Submission
8098,No,No,No,,1201,,Marketing Management,Lead Add Form
8099,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
8100,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
8101,Yes,No,No,13,1725,3.25,,API
8102,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8103,No,No,No,0,0,0,,API
8104,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8105,Yes,No,No,0,0,0,Operations Management,Lead Add Form
8106,No,No,No,5,1230,5,Services Excellence,Landing Page Submission
8107,Yes,No,No,0,0,0,Supply Chain Management,Lead Add Form
8108,Yes,No,No,,903,,"Banking, Investment And Insurance",Lead Add Form
8109,Yes,No,No,0,0,0,Operations Management,Lead Add Form
8110,No,No,No,2,189,1,,API
8111,Yes,Yes,No,0,0,0,Human Resource Management,Lead Add Form
8112,Yes,No,No,1,1102,1,Operations Management,Landing Page Submission
8113,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
8114,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8115,No,No,No,5,1399,1.67,Human Resource Management,Landing Page Submission
8116,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
8117,No,No,No,3,451,3,Human Resource Management,Landing Page Submission
8118,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8119,Yes,No,No,0,0,0,Finance Management,Lead Add Form
8120,No,No,No,6,544,6,Human Resource Management,Landing Page Submission
8121,Yes,No,No,1,1232,1,Supply Chain Management,Lead Add Form
8122,No,No,No,3,15,3,Rural and Agribusiness,Landing Page Submission
8123,No,Yes,No,2,365,2,Healthcare Management,Landing Page Submission
8124,Yes,No,No,4,1761,4,,API
8125,No,Yes,No,6,453,6,E-COMMERCE,Landing Page Submission
8126,No,No,No,11,8,1.38,Marketing Management,API
8127,No,No,No,6,122,2,,API
8128,No,No,No,0,0,0,,API
8129,No,No,No,0,0,0,,API
8130,No,No,No,7,961,1.75,Finance Management,Landing Page Submission
8131,Yes,No,No,2,979,2,Supply Chain Management,Landing Page Submission
8132,No,Yes,No,2,2,2,Marketing Management,Landing Page Submission
8133,No,No,No,3,60,3,Marketing Management,Landing Page Submission
8134,No,No,No,6,147,6,Travel and Tourism,Landing Page Submission
8135,No,No,No,3,491,3,Finance Management,Landing Page Submission
8136,No,Yes,No,2,913,2,Business Administration,Landing Page Submission
8137,No,No,No,2,726,2,,API
8138,No,Yes,No,2,165,2,Media and Advertising,Landing Page Submission
8139,No,No,No,3,605,3,Travel and Tourism,Landing Page Submission
8140,No,No,No,2,36,2,,API
8141,No,No,No,1,55,1,Marketing Management,Landing Page Submission
8142,No,No,No,0,0,0,,API
8143,No,No,No,4,345,4,Operations Management,Landing Page Submission
8144,No,No,No,8,1483,2.67,Finance Management,Landing Page Submission
8145,Yes,No,No,2,70,2,"Banking, Investment And Insurance",Landing Page Submission
8146,No,No,No,2,158,2,Media and Advertising,Landing Page Submission
8147,Yes,No,No,14,1822,7,International Business,Landing Page Submission
8148,No,No,No,6,1806,2,Finance Management,Landing Page Submission
8149,No,No,No,1,109,1,Marketing Management,Landing Page Submission
8150,No,Yes,No,1,100,1,Travel and Tourism,Landing Page Submission
8151,Yes,No,No,2,1096,2,,API
8152,No,No,No,2,24,2,Finance Management,Landing Page Submission
8153,No,Yes,No,4,203,4,Finance Management,Landing Page Submission
8154,No,No,No,0,0,0,,API
8155,No,No,No,2,404,2,Finance Management,Landing Page Submission
8156,No,No,No,2,228,2,IT Projects Management,Landing Page Submission
8157,No,Yes,No,5,210,2.5,Finance Management,Landing Page Submission
8158,No,No,No,0,0,0,,API
8159,Yes,No,No,0,0,0,,API
8160,No,No,No,2,465,2,Marketing Management,Landing Page Submission
8161,No,No,No,4,367,4,"Banking, Investment And Insurance",Landing Page Submission
8162,Yes,No,No,3,1391,3,Finance Management,Landing Page Submission
8163,No,No,No,0,0,0,,API
8164,No,No,No,2,886,2,Marketing Management,Landing Page Submission
8165,Yes,No,No,4,692,4,Marketing Management,Landing Page Submission
8166,No,No,No,0,0,0,,API
8167,No,No,No,6,94,6,,API
8168,No,No,No,0,0,0,,API
8169,No,No,No,13,246,6.5,Healthcare Management,Landing Page Submission
8170,No,No,No,4,166,4,Finance Management,Landing Page Submission
8171,No,No,No,5,286,5,Marketing Management,Landing Page Submission
8172,Yes,No,No,7,1100,2.33,IT Projects Management,Landing Page Submission
8173,No,Yes,No,0,0,0,,Lead Add Form
8174,Yes,Yes,No,4,1269,2,Business Administration,Landing Page Submission
8175,No,No,No,0,0,0,,Lead Add Form
8176,Yes,No,No,2,783,2,,API
8177,No,No,No,2,348,1,,API
8178,Yes,No,No,3,1029,3,Marketing Management,Landing Page Submission
8179,No,No,No,6,617,6,Finance Management,Landing Page Submission
8180,No,No,No,24,338,8,Marketing Management,Landing Page Submission
8181,No,No,No,0,0,0,,Lead Add Form
8182,No,No,No,0,0,0,,Lead Add Form
8183,No,No,No,1,40,1,E-Business,Landing Page Submission
8184,No,Yes,No,0,0,0,,Lead Add Form
8185,Yes,No,No,3,1396,3,Human Resource Management,Landing Page Submission
8186,No,No,No,2,35,1,,API
8187,No,No,No,0,0,0,,API
8188,No,No,No,0,0,0,,Lead Add Form
8189,No,No,No,4,62,4,Human Resource Management,Landing Page Submission
8190,Yes,No,No,19,265,3.8,Human Resource Management,Landing Page Submission
8191,No,No,No,0,0,0,,Lead Add Form
8192,No,No,No,0,0,0,,Lead Add Form
8193,No,No,No,2,909,2,"Banking, Investment And Insurance",Landing Page Submission
8194,No,No,No,0,0,0,,Lead Add Form
8195,No,No,No,0,0,0,,Lead Add Form
8196,No,No,No,0,0,0,,API
8197,No,No,No,2,228,1,,API
8198,Yes,No,No,10,1250,10,Operations Management,Landing Page Submission
8199,No,No,No,0,0,0,,Lead Add Form
8200,No,No,No,0,0,0,,Lead Add Form
8201,No,No,No,2,1570,1,,API
8202,No,No,No,2,1266,2,Human Resource Management,Landing Page Submission
8203,No,No,No,3,810,1.5,Finance Management,Landing Page Submission
8204,No,Yes,No,25,269,1.19,,API
8205,No,No,No,0,0,0,,Lead Add Form
8206,No,No,No,0,0,0,,Lead Add Form
8207,No,No,No,6,440,6,,API
8208,No,No,No,0,0,0,,Lead Add Form
8209,Yes,No,No,2,1075,2,,API
8210,No,No,No,2,151,2,Media and Advertising,Landing Page Submission
8211,Yes,No,No,4,1280,2,Operations Management,Landing Page Submission
8212,Yes,No,No,0,0,0,Travel and Tourism,API
8213,No,No,No,1,276,1,,API
8214,Yes,No,No,4,1264,4,Marketing Management,Landing Page Submission
8215,No,No,No,0,0,0,,API
8216,No,No,No,0,0,0,,API
8217,No,No,No,7,35,1.4,,API
8218,No,No,No,4,229,4,Human Resource Management,Landing Page Submission
8219,Yes,No,No,14,1338,14,Business Administration,Landing Page Submission
8220,Yes,No,No,7,247,1.75,Finance Management,Landing Page Submission
8221,Yes,No,No,5,1388,5,Business Administration,Landing Page Submission
8222,No,No,No,0,0,0,,API
8223,No,No,No,0,0,0,Media and Advertising,API
8224,No,No,No,0,0,0,,API
8225,Yes,No,No,5,752,2.5,Finance Management,Landing Page Submission
8226,Yes,No,No,4,2,2,Finance Management,Landing Page Submission
8227,Yes,No,No,3,1288,3,Marketing Management,API
8228,No,No,No,2,205,2,Business Administration,Landing Page Submission
8229,Yes,No,No,6,147,6,,API
8230,Yes,No,No,9,1105,2.25,Finance Management,Landing Page Submission
8231,No,Yes,No,42,1148,3.82,,Landing Page Submission
8232,No,No,No,5,31,5,International Business,Landing Page Submission
8233,No,No,No,5,311,1.25,,API
8234,Yes,No,No,2,1227,1,Human Resource Management,Landing Page Submission
8235,Yes,No,No,2,86,2,Finance Management,Landing Page Submission
8236,Yes,No,No,1,125,1,Finance Management,Landing Page Submission
8237,No,No,No,6,693,3,Travel and Tourism,Landing Page Submission
8238,Yes,No,No,1,944,1,Human Resource Management,Landing Page Submission
8239,No,No,No,2,1451,2,Rural and Agribusiness,Landing Page Submission
8240,Yes,No,No,3,1381,3,Retail Management,Landing Page Submission
8241,No,No,No,2,1135,2,Services Excellence,Landing Page Submission
8242,No,No,No,3,181,3,Marketing Management,Landing Page Submission
8243,Yes,No,No,2,1130,2,Human Resource Management,Landing Page Submission
8244,Yes,No,No,2,1522,2,Finance Management,Landing Page Submission
8245,No,No,No,3,130,3,Business Administration,Landing Page Submission
8246,No,No,No,0,0,0,,API
8247,No,No,No,0,0,0,,API
8248,No,No,No,2,383,2,Human Resource Management,Landing Page Submission
8249,Yes,Yes,No,0,0,0,Business Administration,API
8250,No,No,No,7,340,2.33,Marketing Management,Landing Page Submission
8251,No,No,No,5,157,5,Business Administration,Landing Page Submission
8252,No,No,No,1,438,1,Marketing Management,Landing Page Submission
8253,No,Yes,No,11,251,1.83,,API
8254,No,No,No,5,288,2.5,Operations Management,Landing Page Submission
8255,No,No,No,0,0,0,,API
8256,Yes,No,No,9,767,2.25,Finance Management,Landing Page Submission
8257,No,Yes,No,0,0,0,,API
8258,Yes,No,No,3,127,3,Marketing Management,Landing Page Submission
8259,No,No,No,6,272,3,Finance Management,Landing Page Submission
8260,No,No,No,2,351,2,"Banking, Investment And Insurance",Landing Page Submission
8261,No,No,No,0,0,0,,API
8262,Yes,No,No,3,1102,3,Human Resource Management,Landing Page Submission
8263,Yes,No,No,4,1544,2,"Banking, Investment And Insurance",Landing Page Submission
8264,No,No,No,2,141,2,Finance Management,Landing Page Submission
8265,No,No,No,1,12,1,Finance Management,Landing Page Submission
8266,Yes,Yes,No,8,1757,8,Finance Management,Landing Page Submission
8267,No,No,No,1,508,1,IT Projects Management,Landing Page Submission
8268,Yes,No,No,0,0,0,Operations Management,API
8269,Yes,No,No,2,780,2,Human Resource Management,API
8270,No,No,No,1,102,1,,API
8271,Yes,No,No,4,281,4,Human Resource Management,Landing Page Submission
8272,Yes,No,No,2,126,1,Hospitality Management,API
8273,No,No,No,5,56,2.5,Supply Chain Management,Landing Page Submission
8274,Yes,No,No,0,0,0,,API
8275,No,No,No,4,12,2,Human Resource Management,Landing Page Submission
8276,No,No,No,2,41,2,Human Resource Management,Landing Page Submission
8277,Yes,No,No,0,0,0,,Lead Add Form
8278,Yes,No,No,8,1014,8,Finance Management,Landing Page Submission
8279,No,No,No,4,381,4,Marketing Management,Landing Page Submission
8280,No,No,No,6,0,3,Marketing Management,Landing Page Submission
8281,No,No,No,2,498,2,,API
8282,No,No,No,12,669,12,International Business,Landing Page Submission
8283,Yes,No,No,9,1316,4.5,Finance Management,Landing Page Submission
8284,No,No,No,0,0,0,,API
8285,Yes,No,No,6,329,3,IT Projects Management,Landing Page Submission
8286,No,No,No,9,78,9,Supply Chain Management,Landing Page Submission
8287,Yes,No,No,3,1493,3,Business Administration,Landing Page Submission
8288,No,No,No,0,0,0,,API
8289,No,No,No,2,357,1,Human Resource Management,API
8290,No,No,No,4,26,2,,API
8291,Yes,No,No,0,0,0,,API
8292,No,No,No,1,200,1,,API
8293,Yes,No,No,0,0,0,Marketing Management,API
8294,Yes,No,No,2,1678,2,Human Resource Management,API
8295,No,Yes,No,0,0,0,,API
8296,Yes,No,No,0,0,0,Business Administration,API
8297,Yes,No,No,0,0,0,Business Administration,API
8298,Yes,No,No,0,0,0,,API
8299,No,No,No,1,554,1,E-COMMERCE,Landing Page Submission
8300,No,Yes,No,1,1323,1,,API
8301,No,No,No,9,458,3,Finance Management,Landing Page Submission
8302,No,No,No,0,0,0,,API
8303,No,No,No,2,368,2,Healthcare Management,Landing Page Submission
8304,No,Yes,No,3,63,3,Marketing Management,Landing Page Submission
8305,Yes,No,No,0,0,0,"Banking, Investment And Insurance",API
8306,No,No,No,0,0,0,,API
8307,No,No,No,0,0,0,,API
8308,No,No,No,5,31,5,Operations Management,Landing Page Submission
8309,No,No,No,5,947,5,Business Administration,Landing Page Submission
8310,Yes,No,No,0,0,0,IT Projects Management,Lead Add Form
8311,Yes,No,No,0,0,0,,API
8312,No,Yes,No,3,118,3,E-COMMERCE,Landing Page Submission
8313,No,No,No,10,251,10,Supply Chain Management,Landing Page Submission
8314,No,No,No,1,533,1,Operations Management,Landing Page Submission
8315,Yes,No,No,11,1002,3.67,Media and Advertising,Landing Page Submission
8316,No,No,No,0,0,0,,API
8317,No,No,No,0,0,0,,API
8318,No,No,No,3,752,3,,API
8319,No,No,No,2,111,2,Media and Advertising,Landing Page Submission
8320,No,No,No,0,0,0,,API
8321,Yes,No,No,3,520,3,Human Resource Management,Landing Page Submission
8322,Yes,No,No,0,0,0,,API
8323,Yes,No,No,14,1584,14,Travel and Tourism,Landing Page Submission
8324,No,No,No,2,151,2,,API
8325,No,No,No,0,0,0,,API
8326,Yes,Yes,No,0,0,0,,Lead Add Form
8327,Yes,No,No,2,1099,2,Supply Chain Management,Landing Page Submission
8328,Yes,No,No,8,1558,2.67,Finance Management,Landing Page Submission
8329,No,No,No,0,0,0,,API
8330,No,No,No,0,0,0,,API
8331,Yes,No,No,4,981,2,Operations Management,Landing Page Submission
8332,No,Yes,No,1,156,1,Finance Management,Landing Page Submission
8333,No,No,No,4,1409,4,Marketing Management,Landing Page Submission
8334,No,No,No,3,176,3,,API
8335,Yes,No,No,0,0,0,,API
8336,Yes,No,No,0,0,0,,API
8337,No,No,No,0,0,0,,API
8338,No,No,No,0,0,0,,API
8339,Yes,No,No,4,643,4,,API
8340,Yes,No,No,5,772,2.5,,API
8341,No,No,No,2,991,2,,API
8342,No,No,No,0,0,0,,API
8343,No,No,No,5,953,2.5,Human Resource Management,Landing Page Submission
8344,No,No,No,6,1353,6,"Banking, Investment And Insurance",Landing Page Submission
8345,No,No,No,0,0,0,,API
8346,No,No,No,0,0,0,,API
8347,No,No,No,8,87,2,Finance Management,Landing Page Submission
8348,Yes,Yes,No,4,1315,4,Media and Advertising,API
8349,Yes,No,No,3,596,3,Operations Management,Landing Page Submission
8350,No,No,No,4,1224,1.33,Finance Management,Landing Page Submission
8351,No,No,No,3,159,3,Marketing Management,Landing Page Submission
8352,Yes,No,No,0,0,0,,API
8353,No,No,No,0,0,0,,API
8354,No,No,No,0,0,0,,API
8355,No,No,No,5,208,5,Media and Advertising,Landing Page Submission
8356,No,No,No,7,1531,1.75,,API
8357,No,No,No,9,390,1.5,International Business,Landing Page Submission
8358,No,Yes,No,3,278,3,Marketing Management,Landing Page Submission
8359,No,No,No,3,342,3,Business Administration,Landing Page Submission
8360,No,No,No,2,289,2,Human Resource Management,Landing Page Submission
8361,No,No,No,0,0,0,,API
8362,No,Yes,No,2,1234,2,Operations Management,Landing Page Submission
8363,Yes,No,No,3,541,3,Supply Chain Management,Landing Page Submission
8364,No,Yes,No,3,1487,3,Healthcare Management,Landing Page Submission
8365,No,No,No,4,334,2,Finance Management,Landing Page Submission
8366,No,Yes,No,8,129,8,E-Business,Landing Page Submission
8367,No,No,No,3,2087,3,Operations Management,Landing Page Submission
8368,No,No,No,3,154,3,Human Resource Management,Landing Page Submission
8369,No,No,No,2,186,2,Supply Chain Management,Landing Page Submission
8370,No,Yes,No,2,283,2,Marketing Management,Landing Page Submission
8371,Yes,No,No,0,0,0,Finance Management,API
8372,No,No,No,5,10,5,Supply Chain Management,Landing Page Submission
8373,Yes,No,No,2,766,2,IT Projects Management,Landing Page Submission
8374,No,No,No,9,87,1.8,Supply Chain Management,Landing Page Submission
8375,No,No,No,5,104,2.5,Human Resource Management,Landing Page Submission
8376,Yes,No,No,4,1449,4,Marketing Management,Landing Page Submission
8377,No,No,No,2,391,2,Finance Management,Landing Page Submission
8378,No,Yes,No,4,65,4,Operations Management,API
8379,No,Yes,No,10,408,3.33,Supply Chain Management,Landing Page Submission
8380,No,No,No,3,154,1.5,Finance Management,Landing Page Submission
8381,No,Yes,No,0,0,0,,API
8382,No,No,No,10,793,10,Business Administration,Landing Page Submission
8383,No,No,No,3,1395,1.5,,API
8384,No,Yes,No,0,0,0,,API
8385,Yes,No,No,0,0,0,Marketing Management,API
8386,Yes,No,No,7,854,3.5,Business Administration,Landing Page Submission
8387,No,No,No,0,0,0,,API
8388,No,No,No,8,216,4,,Landing Page Submission
8389,No,No,No,1,127,1,International Business,Landing Page Submission
8390,Yes,No,No,9,38,1.8,IT Projects Management,API
8391,No,No,No,0,0,0,,API
8392,Yes,No,No,3,82,3,Finance Management,Landing Page Submission
8393,Yes,No,No,0,0,0,,API
8394,No,No,No,4,2226,2,Finance Management,Landing Page Submission
8395,Yes,No,No,4,1284,4,Human Resource Management,Landing Page Submission
8396,Yes,No,No,8,1198,2,Finance Management,API
8397,No,No,No,0,0,0,,API
8398,Yes,No,No,5,1154,5,Human Resource Management,Landing Page Submission
8399,No,No,No,11,1858,5.5,Hospitality Management,Landing Page Submission
8400,Yes,No,No,3,14,1,IT Projects Management,API
8401,No,No,No,8,35,2,Media and Advertising,Landing Page Submission
8402,No,No,No,3,130,3,,API
8403,Yes,No,No,2,1412,2,,API
8404,Yes,No,No,0,0,0,,Lead Add Form
8405,Yes,No,No,2,254,2,Human Resource Management,Landing Page Submission
8406,No,Yes,No,2,152,2,Services Excellence,Landing Page Submission
8407,Yes,No,No,16,1297,1.78,Operations Management,Landing Page Submission
8408,No,No,No,0,0,0,,API
8409,Yes,No,No,2,1157,2,,API
8410,Yes,No,No,2,1556,2,Marketing Management,Landing Page Submission
8411,No,No,No,0,0,0,,API
8412,Yes,No,No,5,1445,2.5,,API
8413,Yes,No,No,0,0,0,,Lead Add Form
8414,Yes,No,No,5,1531,5,Marketing Management,Landing Page Submission
8415,No,No,No,4,180,2,Marketing Management,Landing Page Submission
8416,Yes,No,No,4,605,2,Business Administration,Landing Page Submission
8417,No,Yes,No,6,311,6,Finance Management,Landing Page Submission
8418,No,No,No,0,0,0,,API
8419,No,Yes,No,2,1414,2,Human Resource Management,Landing Page Submission
8420,Yes,No,No,2,849,2,Marketing Management,Landing Page Submission
8421,Yes,No,No,2,1306,1,,API
8422,No,No,No,0,0,0,,API
8423,No,No,No,1,94,1,,API
8424,Yes,No,No,0,0,0,Operations Management,API
8425,No,No,No,4,303,4,,API
8426,No,No,No,0,0,0,,API
8427,No,Yes,No,6,262,3,Business Administration,Landing Page Submission
8428,No,No,No,5,547,2.5,,API
8429,No,No,No,0,0,0,,API
8430,Yes,No,No,0,0,0,,Lead Add Form
8431,No,No,No,0,0,0,,API
8432,No,No,No,6,192,6,Healthcare Management,Landing Page Submission
8433,Yes,No,No,2,1705,2,Operations Management,Landing Page Submission
8434,No,No,No,3,1318,3,Human Resource Management,Landing Page Submission
8435,Yes,No,No,,1458,,,Lead Add Form
8436,Yes,No,No,6,1079,6,Human Resource Management,Landing Page Submission
8437,No,No,No,0,0,0,,API
8438,No,No,No,5,12,5,Business Administration,Landing Page Submission
8439,No,No,No,4,289,4,Business Administration,Landing Page Submission
8440,No,No,No,0,0,0,,API
8441,No,No,No,1,247,1,Travel and Tourism,Landing Page Submission
8442,Yes,No,No,0,0,0,Marketing Management,API
8443,No,No,No,0,0,0,,API
8444,Yes,No,No,0,0,0,Business Administration,API
8445,No,No,No,2,86,1,,API
8446,Yes,No,No,2,1486,2,Human Resource Management,Landing Page Submission
8447,No,Yes,No,17,96,5.67,Retail Management,Landing Page Submission
8448,No,No,No,3,127,1.5,IT Projects Management,Landing Page Submission
8449,No,No,No,3,11,3,,API
8450,No,No,No,5,1050,2.5,Business Administration,Landing Page Submission
8451,No,No,No,0,0,0,,API
8452,Yes,No,No,8,1607,2.67,Human Resource Management,Landing Page Submission
8453,Yes,No,No,3,770,3,IT Projects Management,Landing Page Submission
8454,No,No,No,0,0,0,,API
8455,No,No,No,5,392,5,E-Business,Landing Page Submission
8456,No,No,No,3,184,3,Human Resource Management,Landing Page Submission
8457,No,Yes,No,3,108,3,,API
8458,No,No,No,3,142,1.5,,API
8459,No,No,No,0,0,0,,API
8460,No,No,No,5,396,1.67,Finance Management,Landing Page Submission
8461,Yes,No,No,2,189,2,Operations Management,API
8462,Yes,No,No,0,0,0,Marketing Management,API
8463,No,No,No,2,353,2,Supply Chain Management,Landing Page Submission
8464,No,No,No,0,0,0,,API
8465,No,No,No,5,1156,1.25,Finance Management,API
8466,Yes,No,No,8,936,8,Supply Chain Management,Landing Page Submission
8467,No,No,No,2,1580,2,,API
8468,No,No,No,0,0,0,,API
8469,No,Yes,No,5,107,5,Human Resource Management,Landing Page Submission
8470,No,Yes,No,2,185,2,Finance Management,Landing Page Submission
8471,No,Yes,No,2,131,2,Travel and Tourism,Landing Page Submission
8472,No,No,No,2,145,2,Supply Chain Management,Landing Page Submission
8473,No,No,No,8,1032,8,Human Resource Management,Landing Page Submission
8474,Yes,No,No,9,1005,9,,Landing Page Submission
8475,No,No,No,3,1218,3,Human Resource Management,Landing Page Submission
8476,Yes,No,No,0,0,0,Human Resource Management,API
8477,No,Yes,No,0,0,0,,API
8478,No,No,No,3,278,3,Operations Management,Landing Page Submission
8479,No,No,No,6,169,6,Travel and Tourism,Landing Page Submission
8480,Yes,No,No,3,746,3,,API
8481,No,No,No,2,1393,2,"Banking, Investment And Insurance",Landing Page Submission
8482,No,No,No,3,473,3,IT Projects Management,API
8483,No,Yes,No,3,103,3,Supply Chain Management,Landing Page Submission
8484,Yes,No,No,4,1674,4,Human Resource Management,Landing Page Submission
8485,No,No,No,2,323,2,Business Administration,Landing Page Submission
8486,No,Yes,No,4,43,2,Marketing Management,Landing Page Submission
8487,No,No,No,6,23,3,International Business,Landing Page Submission
8488,No,No,No,2,345,2,Finance Management,Landing Page Submission
8489,No,Yes,No,2,267,2,Human Resource Management,Landing Page Submission
8490,No,No,No,2,109,2,Travel and Tourism,Landing Page Submission
8491,No,No,No,0,0,0,,Lead Add Form
8492,No,No,No,4,679,4,"Banking, Investment And Insurance",Landing Page Submission
8493,Yes,No,No,2,1565,2,Finance Management,API
8494,No,No,No,4,884,4,Operations Management,Landing Page Submission
8495,Yes,No,No,3,676,3,"Banking, Investment And Insurance",Landing Page Submission
8496,Yes,No,No,6,1835,6,Supply Chain Management,Landing Page Submission
8497,No,No,No,3,1478,3,Business Administration,API
8498,No,No,No,2,210,2,"Banking, Investment And Insurance",Landing Page Submission
8499,No,Yes,No,3,178,3,Supply Chain Management,Landing Page Submission
8500,Yes,No,No,0,0,0,,Lead Add Form
8501,No,Yes,No,6,229,6,Supply Chain Management,Landing Page Submission
8502,No,No,No,1,84,1,Finance Management,Landing Page Submission
8503,No,No,No,3,509,3,Human Resource Management,Landing Page Submission
8504,No,No,No,3,847,3,,API
8505,No,No,No,2,1192,2,Business Administration,API
8506,Yes,No,No,7,1721,3.5,Business Administration,Landing Page Submission
8507,No,No,No,2,70,2,Media and Advertising,Landing Page Submission
8508,No,No,No,4,18,4,Marketing Management,Landing Page Submission
8509,No,No,No,2,223,2,,Landing Page Submission
8510,Yes,No,No,1,1635,1,,API
8511,Yes,No,No,4,1840,4,IT Projects Management,Landing Page Submission
8512,Yes,No,No,2,645,2,,API
8513,No,No,No,0,0,0,,API
8514,No,No,No,4,271,4,Healthcare Management,Landing Page Submission
8515,Yes,No,No,2,384,2,Finance Management,Landing Page Submission
8516,Yes,No,No,3,1011,3,Healthcare Management,Landing Page Submission
8517,Yes,No,No,4,690,2,Hospitality Management,Landing Page Submission
8518,No,No,No,0,0,0,,API
8519,Yes,No,No,2,254,2,Supply Chain Management,Landing Page Submission
8520,No,No,No,5,21,5,Retail Management,Landing Page Submission
8521,No,Yes,No,4,543,4,International Business,Landing Page Submission
8522,Yes,No,No,8,1508,8,Operations Management,Landing Page Submission
8523,Yes,No,No,1,1459,1,Marketing Management,Landing Page Submission
8524,No,No,No,2,1241,2,E-COMMERCE,Landing Page Submission
8525,No,No,No,5,215,2.5,International Business,Landing Page Submission
8526,No,No,No,3,381,3,Human Resource Management,Landing Page Submission
8527,No,No,No,7,86,1.75,Finance Management,Landing Page Submission
8528,No,No,No,2,407,2,Supply Chain Management,Landing Page Submission
8529,No,No,No,2,300,2,Operations Management,Landing Page Submission
8530,No,No,No,5,4,5,Operations Management,Landing Page Submission
8531,No,No,No,2,362,2,Services Excellence,Landing Page Submission
8532,No,No,No,2,244,2,Supply Chain Management,Landing Page Submission
8533,No,No,No,2,46,2,Finance Management,Landing Page Submission
8534,No,No,No,2,148,2,Operations Management,Landing Page Submission
8535,Yes,No,No,3,125,3,Finance Management,Landing Page Submission
8536,No,No,No,3,20,3,,API
8537,No,No,No,2,33,2,IT Projects Management,Landing Page Submission
8538,No,No,No,10,1337,5,Business Administration,Landing Page Submission
8539,Yes,No,No,5,1296,2.5,Finance Management,API
8540,Yes,No,No,4,1390,4,Marketing Management,Landing Page Submission
8541,No,No,No,2,1647,2,,API
8542,Yes,No,No,11,1882,2.75,,API
8543,No,No,No,1,261,1,E-COMMERCE,Landing Page Submission
8544,No,No,No,4,147,4,E-COMMERCE,Landing Page Submission
